"equipoLocal","equipoVisitante","prediccionGanador","comentarioAviso","posibilidadDeEmpate","equipoLocalPorcentajeEnLasEstadisticas","equipoVisitantePorcentajeEnLasEstadisticas","equipoLocalPromedioDeCasasDeApuestas","empatePromedioDeCasasDeApuestas","equipoVisitantePromedioDeCasasDeApuestas"
"Bologna","Spezia","Bologna","Double chance : Bologna or draw",true,"64.5%","35.5%","1.92","3.45","4.16"
"Lecce","Salernitana","Lecce","Double chance : Lecce or draw",true,"77.3%","22.7%","1.87","3.50","4.24"
