"fecha","liga","equipoLocal","equipoVisitante","prediccionGanadorAPI","prediccionGanadorApuestas","comentarioAviso","posibilidadDeEmpate","equipoLocalPorcentajeEnLasEstadisticas","equipoVisitantePorcentajeEnLasEstadisticas","equipoLocalPromedioDeCasasDeApuestas","empatePromedioDeCasasDeApuestas","equipoVisitantePromedioDeCasasDeApuestas"
"2023-01-29","LA_LIGA","Real Madrid","Real Sociedad","Real Madrid","Equipo Local","Double chance : Real Madrid or draw","Probable","52.7%","47.5%","1.72","3.78","5.08"
"2023-01-29","LA_LIGA","Celta Vigo","Athletic Club","Celta Vigo","Equipo Visitante","Double chance : Celta Vigo or draw","Probable","56.2%","44.0%","3.11","2.99","2.56"
"2023-01-29","LA_LIGA","Osasuna","Atletico Madrid","Atletico Madrid","Equipo Visitante","Combo Double chance : draw or Atletico Madrid and -3.5 goals","Probable","33.0%","67.4%","3.96","3.22","2.07"
"2023-01-29","LA_LIGA","Valladolid","Valencia","Valencia","Equipo Visitante","Double chance : draw or Valencia","Probable","27.5%","72.8%","3.25","3.23","2.33"
