"equipoLocal","equipoVisitante","prediccionGanador","comentarioAviso","posibilidadDeEmpate","equipoLocalPorcentajeEnLasEstadisticas","equipoVisitantePorcentajeEnLasEstadisticas","equipoLocalPromedioDeCasasDeApuestas","empatePromedioDeCasasDeApuestas","equipoVisitantePromedioDeCasasDeApuestas"
"Marseille","Monaco","Marseille","Combo Double chance : Marseille or draw and +1.5 goals",true,"56.7%","43.3%","2.07","3.59","3.48"
"Estac Troyes","Lens","Lens","Double chance : draw or Lens",true,"27.8%","72.2%","5.76","4.11","1.57"
